#,Address,Source,Live Registers,Sampling Data (All),Sampling Data (Not Issued),Instructions Executed,Predicated-On Thread Instructions Executed,Memory Address Space,Memory Access Operation,Memory Access Size,Memory L1 Transactions Global,Memory L1 Transactions Shared,Memory L2 Transactions Global,Memory L2 Transactions Local,stall_barrier,stall_dispatch,stall_drain,stall_imc,stall_lg,stall_long_sb,stall_math,stall_membar,stall_mio,stall_misc,stall_no_inst,stall_not_selected,stall_selected,stall_short_sb,stall_sleep,stall_tex,stall_wait,stall_barrier (Not Issued),stall_dispatch (Not Issued),stall_drain (Not Issued),stall_imc (Not Issued),stall_lg (Not Issued),stall_long_sb (Not Issued),stall_math (Not Issued),stall_membar (Not Issued),stall_mio (Not Issued),stall_misc (Not Issued),stall_no_inst (Not Issued),stall_not_selected (Not Issued),stall_selected (Not Issued),stall_short_sb (Not Issued),stall_sleeping (Not Issued),stall_tex (Not Issued),stall_wait (Not Issued)
159,00000013 2fa941e0,@!P0 BRA 0x132fa99830 ,,1,0,12800,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,00000013 2fa941f0,"     IMAD.MOV.U32 R46, RZ, RZ, RZ ",,2,1,12800,409600,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
161,00000013 2fa94200,"@!PT SHFL.IDX PT, RZ, RZ, RZ, RZ ",,16,10,25600,0,,,,,,,,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,1
162,00000013 2fa94210,"     IADD3 R47, -R46, c[0x0][0x18c], RZ ",,1,0,25600,819200,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,00000013 2fa94220,     YIELD ,,2,0,25600,819200,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,00000013 2fa94230,"     ISETP.LT.AND P0, PT, R47, c[0x0][0x198], PT ",,15,9,25600,819200,,,,,,,,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,1
165,00000013 2fa94240,"     SEL R47, R47, c[0x0][0x198], P0 ",,21,11,25600,819200,,,,,,,,0,0,0,0,0,0,0,0,0,1,16,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
166,00000013 2fa94250,"     ISETP.GE.AND P0, PT, R47, 0x1, PT ",,2,2,25600,819200,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
167,00000013 2fa94260,@!P0 BRA 0x132fa99830 ,,4,2,25600,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
168,00000013 2fa94270,@!P0 BRA 0x132fa96240 ,,2,1,25600,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
169,00000013 2fa94280,"     IMAD.MOV.U32 R49, RZ, RZ, RZ ",,5,2,25600,819200,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
170,00000013 2fa94290,"@!PT SHFL.IDX PT, RZ, RZ, RZ, RZ ",,14,8,38400,0,,,,,,,,0,0,0,0,0,0,0,0,7,0,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,1
171,00000013 2fa942a0,"     IMAD.SHL.U32 R48, R32, 0x10, RZ ",,0,0,38400,1228800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,00000013 2fa942b0,"     IMAD.IADD R13, R47, 0x1, -R49 ",,5,3,38400,1228800,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
173,00000013 2fa942c0,"     ISETP.LT.AND P0, PT, R48, R13, PT ",,9,5,38400,1228800,,,,,,,,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3
